title,description,dueTo
Buy groceries,Buy milk eggs and bread,2025-11-01T10:00:00Z
Prepare presentation,Finalize slides for Q4 review,2025-11-05T09:00:00Z
Code review,Review open pull requests,2025-10-30T15:00:00Z
Update dependencies,Upgrade Spring Boot and Gradle,2025-11-10T12:00:00Z
Team meeting,Weekly sync with the team,2025-10-28T09:30:00Z
Write tests,Add unit tests for auth module,2025-11-02T14:00:00Z
Clean backlog,Triaged user stories and tasks,2025-11-07T16:00:00Z
Deploy staging,Deploy latest build to staging,2025-10-29T18:00:00Z
Fix security issue,Patch JWT validation bug,2025-11-12T11:00:00Z
Research feature,Investigate caching strategies,2025-11-15T13:00:00Z
